0,1,2,3,4,5,6
2.63,5.0,90.0,2.0,0.5,1.0,3257.6
4.67,5.0,7.0,1.0,0.5,1.0,3511.0
4.99,5.0,7.0,1.0,0.5,1.0,3063.4
0.23,50.0,365.0,2.0,0.5,1.0,1867.0
0.96,5.0,7.0,2.0,0.5,1.0,1672.0
7.14,20.0,180.0,2.0,0.5,1.0,2037.6
4.59,5.0,90.0,1.0,0.5,1.0,1909.9
16.95,20.0,180.0,2.0,0.5,1.0,1787.7
4.85,5.0,30.0,1.0,0.5,1.0,2473.9
45.87,50.0,90.0,2.0,0.5,1.0,1969.8
0.36,20.0,90.0,2.0,0.5,1.0,1210.7
0.05,5.0,180.0,2.0,0.5,1.0,1419.9
2.63,50.0,30.0,2.0,0.5,1.0,1100.6
18.35,20.0,90.0,2.0,0.5,1.0,1435.6
26.32,50.0,90.0,2.0,0.5,1.0,1383.6
14.65,20.0,365.0,2.0,0.5,1.0,1350.8
9.99,10.0,30.0,1.0,0.5,1.0,1822.6
19.99,20.0,30.0,2.0,0.5,1.0,1008.3
9.17,10.0,90.0,1.0,0.5,1.0,1597.4
9.350000000000001,10.0,7.0,2.0,0.5,1.0,985.0999999000001
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1690.3
0.53,10.0,30.0,2.0,0.5,1.0,1068.0
49.82,50.0,365.0,1.0,0.5,1.0,1361.2
9.62,50.0,7.0,2.0,0.5,1.0,888.2999997000001
3.57,10.0,180.0,2.0,0.5,1.0,1230.2
9.99,10.0,90.0,2.0,0.5,1.0,826.9000000999999
17.86,50.0,180.0,2.0,0.5,1.0,1416.8
4.98,5.0,365.0,2.0,0.5,1.0,1315.4
0.05,10.0,365.0,2.0,0.5,1.0,925.1999998
1.92,10.0,7.0,2.0,0.5,1.0,833.0999999000001
4.3,20.0,365.0,2.0,0.5,1.0,824.9000000999999
9.99,10.0,7.0,2.0,0.5,1.0,1548.3
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1562.1
2.15,10.0,365.0,2.0,0.5,1.0,1024.9
4.99,5.0,30.0,1.0,0.5,1.0,1432.9
10.75,50.0,365.0,2.0,0.5,1.0,1129.0
49.65,50.0,7.0,1.0,0.5,1.0,2006.2
0.91,50.0,90.0,2.0,0.5,1.0,1069.6
0.09,5.0,90.0,2.0,0.5,1.0,1052.0
9.709999999999999,10.0,30.0,2.0,0.5,1.0,1531.0
49.99,50.0,30.0,1.0,0.5,1.0,1732.8
38.46,50.0,30.0,2.0,0.5,1.0,931.6000004
0.09,20.0,365.0,2.0,0.5,1.0,1147.1
5.26,10.0,90.0,2.0,0.5,1.0,1018.7
0.18,10.0,90.0,2.0,0.5,1.0,810.7000003
48.54,50.0,30.0,2.0,0.5,1.0,1437.0
36.63,50.0,365.0,2.0,0.5,1.0,997.6999998
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1140.0
0.26,5.0,30.0,2.0,0.5,1.0,1059.2
0.09,10.0,180.0,2.0,0.5,1.0,878.2000003
4.99,5.0,180.0,1.0,0.5,1.0,1376.6
19.93,20.0,365.0,1.0,0.5,1.0,1511.8
18.69,20.0,7.0,1.0,0.5,1.0,1393.9
10.53,20.0,90.0,2.0,0.5,1.0,1603.1
19.99,20.0,7.0,1.0,0.5,1.0,1860.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2004.9
49.99,50.0,7.0,1.0,0.5,1.0,1682.7
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1498.4
19.979999999999997,20.0,90.0,2.0,0.5,1.0,1325.4
49.91,50.0,180.0,1.0,0.5,1.0,1330.8
9.93,10.0,7.0,2.0,0.5,1.0,1205.1
49.96,50.0,90.0,2.0,0.5,1.0,988.7999997000001
15.38,20.0,30.0,2.0,0.5,1.0,1260.7
19.86,20.0,7.0,2.0,0.5,1.0,1194.1
9.98,10.0,180.0,2.0,0.5,1.0,1159.6
1.05,20.0,30.0,2.0,0.5,1.0,1236.8
4.99,5.0,90.0,2.0,0.5,1.0,1214.7
1.79,5.0,180.0,2.0,0.5,1.0,1117.5
9.96,10.0,365.0,1.0,0.5,1.0,1248.9
0.46,50.0,180.0,2.0,0.5,1.0,1000.0
8.47,10.0,180.0,2.0,0.5,1.0,892.3000002
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1364.7
1.08,5.0,365.0,2.0,0.5,1.0,1174.1
4.24,5.0,180.0,2.0,0.5,1.0,1288.4
0.02,5.0,365.0,2.0,0.5,1.0,1047.0
42.37,50.0,180.0,1.0,0.5,1.0,2073.1
3.66,5.0,365.0,2.0,0.5,1.0,1721.7
0.18,20.0,180.0,2.0,0.5,1.0,996.2000003
4.970000000000001,5.0,7.0,2.0,0.5,1.0,1089.9
7.33,10.0,365.0,2.0,0.5,1.0,1301.9
